,info,answer,translated_questions
0,110年學測-社會科第1題,D,"Translated Question: Zhu Er (招弟) was dismissed from her job due to her pregnancy, citing that it would affect her job performance. After learning about gender equality, she realized that she had experienced unfair treatment throughout her life. For example, her father told her not to register in the genealogy, her mother said she could not return home to pay respects after marriage, and as the eldest child, her father named her ""Zhu Er."" According to the current laws and regulations in our country, if she files a lawsuit with the court or the competent authority, which of the following arguments is most likely to succeed? (A) The name ""Zhu Er"" infringes on her right to be named (B) Not being listed in the genealogy violates equal inheritance rights (C) Not being allowed to return home to practice religion restricts religious freedom (D) The company's dismissal of her violates her right to work"
1,110年學測-社會科第2題,C,"Translated Question: At a university, the decision was made to convert the sports field into a parking lot to increase revenue. Students believed that the school was sacrificing student interests and protested. The basketball team's practice field was also affected, but the basketball team decided not to participate in the action because there were already many other students protesting. After continuous struggle, the school finally reconsidered the renovation plan. In the above event, the decision made by the basketball team in response to the struggle best reflects the challenge faced in the most common form of citizen participation? (A) Civil unrest must gather public power, but effective strategic actions are needed to change government policies. (B) To improve public participation, you must break the barrier of countless ""likes"" on the network but only a few people show up in action. (C) To improve workers' rights, consider how to ensure that non-union members cannot share the success of labor struggle. (D) To promote the success of environmental protection movements, you must break the government and citizens' one-sided emphasis on economic benefits."
2,110年學測-社會科第3題,D,"Translated Question: According to a survey, in recent years the participation rate of associations in a certain country has increased significantly, but the overall rate is still low and mainly focused on religious groups and alumni associations. Based on the perspective of promoting democratic political development, which of the following is the most appropriate comment on the association participation in that country? (A) Religion should not interfere in politics, so the government should limit the political involvement of religious groups. (B) If the government can subsidize and support the associations in that country, it can effectively increase the participation rate of the people. (C) Alumni associations are established based on the graduating school of the participants, so they cannot be considered voluntary associations. (D) In recent years, that country has not only accumulated social capital, but also the skills of citizen participation in associational life may have improved."
3,110年學測-社會科第4題,D,"Translated Question: Which scenario best illustrates the ""commentary on facts"" function of the media, where media provides different analytical perspectives and may suggest related remedial measures to play its public role? (A) Media repeatedly exposes toxic food and reports its harmful effects on the human body, raising concerns about food safety. (B) News reports on the UK's departure from the European Union, providing information on voting rates in different regions and age groups. (C) Media covers the news of the coup in Turkey and reports that the foreign ministry has raised the travel warning to a red level. (D) Media covers the issue of pension reform by interviewing groups with differing stances and exploring the impact on the country's people."
4,110年學測-社會科第5題,D,"Translated Question: To reduce break-up violence between partners, some scholars advocate that intimate relationships should also emphasize democratization, that is, the principles of equal communication and free expression of one's will that are emphasized in public affairs should also be applied to the love interactions of intimate relationships. Which of the following statements best reflects this argument? (A) The government should widely communicate with the public to formulate more specific rules for the interaction between partners. (B) In the private sphere of intimate relationships, disputes should be resolved according to the principle of the majority rules. (C) Intimate partners should learn to agree on things to avoid ending the relationship easily. (D) Love relationships emphasize mutual dependence, but there should be mutual recognition of each other's independence and autonomy."
5,110年學測-社會科第6題,A,"6. In a citizenship and society class, the teacher introduces various democratic theories:   A) Majority rule cannot adequately consider public policy quality, and improving decision-making requires dialogue and discussion.   B) Everyone is rational and equal, so they should actively participate in politics to cultivate virtue.   C) It is difficult for everyone to participate in politics, so decision-making power should be given to professional politicians.   D) Interest groups are the main actors in democratic politics, and they compete for votes by advocating for policies. Which of the following is most similar to the approach taken by the government and private organizations in hosting multiple citizen meetings for controversial public issues? (A) A (B) B (C) C (D) D"
6,110年學測-社會科第7題,C,"Translated Question: What is the main reason for the transformation of the legislative council's political landscape in our country from a multi-party system to a two-party system since the 1990s after the democratization? (A) The polarization of social divisions, (B) The public's disdain for small parties, (C) Changes in the electoral system, (D) Adjustments in the government system."
7,110年學測-社會科第9題,B,"                            Translated Question: In a high-end store, A bought a set of coffee cups for the price marked. Later, A found another customer bought the same set of coffee cups with an 8-discount. A expressed dissatisfaction and said that if there was no reasonable explanation, he would report to the consumer affairs officer. What is the correct legal comment on the transaction between A and the high-end store? (A) According to the Consumer Protection Act, A can claim that the store's information is not transparent and demands to cancel the contract. (B) According to the principle of freedom of contract, the store has the right to choose which customers to make a favorable transaction with. (C) If the same store sells the same goods at different prices, it violates the regulations of the Fair Trade Law. (D) If the consumer officer receives a complaint, they will investigate whether the store violates the principle of equality and decides on a penalty."
8,110年學測-社會科第10題,A,"Translated Question: In a scenic spot managed by a government agency, it is common for visitors to lie down on benches and walkways, causing inconvenience to other visitors. The agency issued a notice: from now on, it is forbidden to lie down in the garden, and those who violate the rules will be fined NT$3,000 and banned from entering for six months. In terms of the legal limits of government agencies restricting citizens' rights, which of the following statements is correct about the management agency's notice? (A) The measures taken by the management agency in the notice, including fines and prohibition of entry, violate the principle of proportionality. (B) The management agency can issue the above measures based on its management authority without needing separate legal authorization. (C) If the measures taken in the notice have legal authorization, they can meet the requirements of the rule of law. (D) Since the act of lying down may interfere with others' freedom, such behavior should not be protected by the Constitution."
9,110年學測-社會科第11題,C,"Translated Question: A certain Alpha was riding a motorcycle when he encountered environmental protection officers conducting an on-the-spot inspection of vehicle exhaust emissions. The test results were not up to standard. The inspectors immediately issued a fine of 1,500 elements. Alpha was very angry, believing that his vehicle had not been purchased for long and could not have problems, and questioned the accuracy of the testing equipment. If Alpha wants to seek legal redress, which path should he take? (A) Apply to the Supreme Court for an interpretation by the Judicial Yuan, (B) Bring a lawsuit against the administrative authorities in the administrative court, (C) Appeal to the prefectural government of the environmental protection department, (D) Bring a civil lawsuit against the environmental protection department in the district court."
