,info,answer,translated_questions
0,111年學測-國文科第1題,A,Translated Question: Which of the following pairs have the same pronunciation in Chinese: (A) 既瘖且痺 / poposou yu yu zhun (B) 不�不求 / budui buxu (C) 攢蹙累積 / kuangyou jinli (D) 剜肉補瘡 / kedou buxie
1,111年學測-國文科第2題,B,"Translated Question: Which of the following sentences is completely free of typos? (A) Guanyin Mountain, as its name suggests, is named because it appears to resemble Guanyin reclining when viewed from a distance. (B) In the early morning, the valley does not see tourists gathering, the world is quiet and tranquil, with silence. (C) Year-end clearance sale, under the powerful promotion of buy one get one free, they sell like hot cakes. (D) Some people mistakenly believe that investing in one book will bring them wealth, so they misjudge the situation and eventually lose everything."
2,111年學測-國文科第3題,A,"Translated Question: Which of the following words is used inappropriately in the underlined parts of the sentences? (A) Events change constantly, like a white arrow passing by, making us feel that it's so touching. (B) One-sidedly seeking without restraint is undoubtedly draining the lake and cutting off one's own path. (C) Following the past and rigidly adhering to traditions is difficult to make a breakthrough in the cultural and creative industry. (D) They are in a dilemma, panicking, and unable to make a decision."
3,111年學測-國文科第4題,C,"Translated Question: According to the information in the box, the most appropriate description of the Squliq (Sakizaya) tribe is: The Squliq tribe lived at an elevation of 300 meters or less, where they had already been in contact with many Chinese people during the Qing Dynasty. After Taiwan came under Japanese rule, they quickly established a language training center with a peaceful and cooperative attitude. The more a group assimilates, the more their sense of self fades, and the faster their community disperses. According to a survey in Year 6 of the Taisho Era, there were only 89 households in the Squliq tribe's Bimaqsuqasan (Sakizaya) community, with 19 households from the Saramali community, 21 households from the Turoknu community, and ten or so households from the Mayasan community, totaling around 210 households and 1,000 people. By the Showa Era 5 years to 7 years, when the survey conducted by Taihoku Imperial University, the number had dropped to 500. (A) Chinese culture had a strong impact on traditional customs, causing the people to flee to other places (B) The living conditions in the low-altitude area were not ideal, causing the tribe's cohesion to weaken (C) The people responded to the Japanese policy of setting up schools to learn Japanese, which indirectly led to the decline of their own group (D) By Year 6 of the Taisho Era, more than half of the households had already moved to other places, and most of them were settled in the Bimaqsuqasan community."
4,111年學測-國文科第5題,A,"Translated Question: According to the passage, the appropriate description of the attitude of reading without fully understanding the text is: (A) no need for a purely rational understanding (B) suitable for reading emotional poetry only (C) no need to understand the meanings of the textual symbols (D) it should match the generally recognized aesthetic connotations of society."
5,111年學測-國文科第6題,B,"Translated Question: Read the following poetry and, based on the meaning and rhyme scheme, determine the most suitable word to fill in the blanks in the following order: (甲) Empty Space 1, 2, 3; (乙) Empty Space 4, 5, 6.  (A) Desolate, Distant, Lofty; (B) Desolate, Frequent, Slender; (C) Resounding, Frequent, Lofty; (D) Resounding, Distant, Slender"
6,111年學測-國文科第7題,B,"輸出格式： Translated Question: According to the passage from ""The Book of Master Zhuang"", which statement best describes the account of the remedy for not getting blisters? (A) The Song people believed its actual value was 100 gold pieces. (B) It had a single function but produced various benefits. (C) The Mu people used it to treat the harm caused by water buffaloes. (D) King of Wu dispatched troops to attack the Mu people over it during the winter water battle."
7,111年學測-國文科第8題,B,"Translated Question: According to the passage, the most appropriate description of the economic relief measures issued by Cao Cao (oper) and the background is: (A) Due to the rampant epidemic and the extensive plundering of the army, there was a large number of deaths affecting the economy and production. (B) Those without property and no relatives to take care of the physically disabled were considered eligible for relief. (C) The state provided lifelong care for women over seventy and children under twelve, with the latter no longer applying after reaching twelve years old. (D) The relief program applied to the poor who could not support themselves and the elderly over ninety who had no one to take care of them."
8,111年學測-國文科第9題,C,根據文章，關於「媜」字的最合適解釋是：(C)可以被聯想成品德貞潔的女子
9,111年學測-國文科第10題,B,"輸出格式： Translated Question: According to the text, which of the following options is least consistent with the author's account of their name? (A) The author first discovered that they had been writing their name incorrectly when they looked at their household registration booklet. (B) Before entering high school, the author always wrote their name as ""嫃."" (C) The author not only wrote their name incorrectly, but the pronunciation was also incorrect. (D) Compared to the meaning of ""virtue and integrity,"" the author prefers the image of a witch."
10,111年學測-國文科第11題,B,"大學時上聲韻學，得知「媜」字確實念「爭」，義為「女字」，女子名字。撰聯名家張佛千先生曾以我名為題賜下一聯：「文章高詣貴在簡，女子美字古曰媜。」蘊涵勉勵之意。女子美字，既云女子有個美好的名字，又可衍義為寫得一手好字，再撮要假借為博得「文章美名」的女子，誰云不宜。貞，會意字，甲骨文字形似一口寶鼎加上一支神杖「卜」形，相合而為：依據鼎內火炙變化而察看神跡。遠古殷商，無事不占卜，貞人即卜人，卜者釋義需求正確、堅定，故衍生貞定、堅貞、貞節之辭，所指皆是不可動搖的精神境界。《康熙字典》收有「媜」字，自字面推想，从女从貞，寓意品德貞潔女子，然我更愛這麼想：一個善占卜的女巫。而「簡」本是遠古用來書寫的狹長竹片，既簡且媜，一個聚精會神觀察大鼎內火炙變化再將占卜結果寫在竹片上的女巫形象，躍然而出。（改寫自簡媜〈迷霧中，呼喚我的名字〉）右框中的六組詞語，前三組取自上文，後三組取自高中教材。其中畫底線的詞，位置都在「數詞」與「名詞」之間。關於這些詞的用法，敘述最適當的是：1.一位大嬸 2.一手好字3.一口寶鼎 4.一桿稱仔5.一船星輝 6.一碟茴香豆(A)1,2,3對於後面所接的名詞，能提供形貌的訊息(B)1,3,4意思相當於「個」，其後皆為可數的名詞(C)除了2,5外，其餘與後面的名詞間，均可加「的」(D)1,3,4,5,6若不出現，亦可清楚表達而不影響語意]"
11,111年學測-國文科第12題,A,根據文章，關於張岱寫的《陶庵夢憶》，敘述最合適的是：(A)內容是對五十年人生的回憶 (B)對信手拈來的寫法感到欣喜 (C)常於深夜寫書，至雞鳴破曉時才肯擱筆 (D)早年已悟繁華如夢，遂於書中深自懺悔
12,111年學測-國文科第13題,C,"輸出格式： Translated Question: Regarding the passage in ""Sha Zhi Meng Yi: Xinzhi"" by Zhang Dao, what is most appropriate about the descriptions of ""shuai fu"" and ""han shi""? (A) Shuai fu and Han shi view life with a carefree attitude. (B) Shuai fu and Han shi each have their focused and dedicated interests. (C) Shuai fu's failure to bear unexpected setbacks and the shattering of his jar, regretting that it was a dream, and the anxious feeling that it was not a dream. (D) Han shi, who failed academically and lost confidence in his knowledge, doubted whether it was a dream."
13,111年學測-國文科第14題,A,根據甲文，在作者自述「莫自知其鳩拙云尔」的态度中，最不可能的是：(A)无法预测后人对自己画作的评价，也就不介意任何评论 (B)既为丹青之道感兴趣，就应尽力以赴，愚拙與否便无须关心 (C)只能利用相夫教子以外的时间从事创作，所以自婉言技巧尚拙 (D)以率意塗抹謙称自己的画作，凸顯想要创作的欲望非常强烈。
14,111年學測-國文科第15題,D,"Translated Question: According to the text in (B), it states that women's writing should break away from the traditional patterns of ""red and green"", focusing on expressing their own emotions. This idea is most closely related to which option? (A) Constantly changing and breaking away from traditional patterns is essential for both men and women. (B) Women's works should avoid adhering to established forms, focusing on expressing their true feelings. (C) Women should imitate male writers known for their delicate and elegant poems and songs. (D) Women should continue to write within the traditional red and green styles."
15,111年學測-國文科第16題,C,"輸出格式：                            Translated Question: According to the two passages, which of the following conclusions is most inappropriate? (A) The ""idle time, idle moments"" in the Alpha passage suggest that Zhang Lihe did not break away from traditional gender roles. (B) Bai states that ""women's writing"" and ""tenderness"" are the essence of female creativity, and there is no need for them to write otherwise. (C) The ""different interests and abilities"" in Alpha and the ""authentic emotions and feelings"" in Beta both discuss the suitability of creativity from a gender perspective. (D) The examples of predecessor writers mentioned by Bai break away from traditional gender stereotypes more than those mentioned in Alpha."
