,info,answer,translated_questions
0,110年學測-國文科第1題,B,"Translated Question: Which of the following pairs have the same pronunciation in Chinese? (A) ""賿""赏众 / ""顗""志以殇 (B) ""阡""陌交通 / 惹祸杂缚 (C) ""餔""糟歠� / ""仆""地哭号 (D) ""竖""寡孤独 / 罪无可逃"
1,110年學測-國文科第2題,A,"Translated Question: Which of the following statements is free of typos? (A) The methods of persecution in the concentration camp are shocking, and the related photos are even more unbearable. (B) This animated film has a thrilling plot, with non-stop laughter, breaking the highest box office record of the year. (C) Mr. Li has officially put into use the library website set up by the school, and the school has awarded a plaque to express their gratitude. (D) Everyone is undecided about the dining location, and after voting, it was decided to go to the steakhouse to feast."
2,110年學測-國文科第3題,D,"Translated Question: According to the meaning of the text, which of the following arrangements is most appropriate: 甲、乙、丙、丁、戊? (A) 乙甲丁戊丙 (B) 乙丙甲戊丁 (C) 戊乙丁甲丙 (D) 戊丁乙丙甲"
3,110年學測-國文科第4題,C,閱讀以下內容，將最合適填入□□的詞語依序是：(D)戊丁乙丙甲 (A)sing/breathe/transfigure (C)murmur/chew/gather (B)sing/chew/gather (D)murmur/breathe/transfigure
4,110年學測-國文科第5題,B,"Translated Question: Which of the following best captures the imagery in the passage below? (A) The sun's warmth symbolizes the deep love grandmother has for her grandchildren. (B) The black ink is made from the hair's melanin and sweat. (C) The thick night represents the heavy burden of farm work that grandmother carries. (D) Grandmother carries the vast night, contrasting her day and night labor with limited returns."
5,110年學測-國文科第6題,C,"輸出格式： Translated Question: According to the passage, which of the following best reflects the author's view on ""heartburn""? (A) Heartburn can be sweet or bitter; it is good to keep the sweet ones and solve the bitter ones. (B) The place where heartburn occurs always makes people hesitate and unwilling to approach again. (C) Heartburn provides a point and anchor, so that one does not drift aimlessly through life. (D) Life should continue to move forward without looking back at heartburn and inviting troubles."
6,110年學測-國文科第7題,B,"Translated Question: Which of the following is the most inappropriate interpretation of the following new poem: ""The crooked little boats are all leaning / The whole world's beaches are like this / And like the crooked head / It is full of sorrow"" (Method Flag ""Little Boat"")? (A) Using ""boat"" as a metaphor for people, highlighting the sadness of life being stranded (B) Using the monotony of the beach, it symbolizes the monotony of life (C) ""Both are like this"" emphasizes the universal loneliness of people and boats (D) The two ""crooked"" descriptions depict the helpless posture of people and boats."
7,110年學測-國文科第8題,A,"Translated Question: Which of the following best fits the sequence of words in the passage below:  (A) critique / strategy / advocacy / rambling (B) critique / rambling / advocacy / strategy (C) advocacy / strategy / critique / rambling (D) advocacy / critique / strategy / rambling (甲) A passage from Xiaoyi's book: ""From the Warring States period to the Two Han dynasties, the influence of this style of writing was extensive. Its essence was to attack the strengths and weaknesses of others, debate the merits and demerits of officials, propose the advantages and disadvantages of the country, and express private feelings of harmony or discord."" (顏之推《顏氏家訓》) (乙) An essay must have a gentle and dignified atmosphere, and the quality of the text is especially important. (吳訥《文章辨體序》)"
8,110年學測-國文科第9題,B,"Translated Question: Which of the following sentences is not expressing a judgmental meaning like ""The so-called X is Y"" (e.g., ""The southward direction is the depth of the pool"")? (A) A vast and magnificent sight is Mount Tai (B) As for any unusual scenery in the state's mountains and waters, they all belong to me (C) History records the spirit of the nation, and the mirror of the crowd (D) The sounds of the states of Zha and Wei, Siduo, Shang, Wu, and Yue are the music of foreign lands"
9,110年學測-國文科第10題,C,"Translated Question: Regarding the explanation of the poem ""Urania"" (烏鵲歌), the most appropriate interpretation is: Kan Yue, a native of Song Kang in the Warring States period, was a servant in the Song Kong Wang's court. His wife, He Shi, was desired by the King, but the King did not get her. He imprisoned Kan Yue and had him build Qing Ling Tai. He Shi composed ""Urania"" to express her feelings and then hanged herself. ""Mountain South has a crow, Mountain North has a trellis. The crow soars high, what can the trellis do? The crows fly together, how can they not be happy? The phoenix doesn't like it."" (Nine Nations Book) (A) using ""crow"" to imply Song Kang Wang's evilness (B) using ""trellis"" to symbolize the trap set to tempt Kan Yue (C) using ""soaring high"" to emphasize He Shi's sense of autonomy (D) using ""phoenix"" to describe the unbreakable love between Kan Yue and He Shi"
