,info,answer,translated_questions
0,109年學測-自然科第1題,E,Translated Question: Which of the following processes involving the exploration of the internal structure of atoms occurred in the correct order according to their occurrence in time? (A) Alpha (B) Alpha and Beta (C) Beta and Alpha (D) Beta and Gamma (E) Gamma and Beta)
1,109年學測-自然科第2題,B,"Translated Question: While Wang and others were riding a hot air balloon at an expansive and windless plain, enjoying the scenery, the hot air balloon was ascending at a constant speed of 5.0m/s vertically. Suddenly, Wang dropped his camera from a height of 100m above the ground, treating it as a free-falling object. Without considering air resistance and taking the acceleration due to gravity as 10m/s², what would the instant speed of the camera just before it hits the ground be approximately in m/s? (A) 55 (B) 45 (C) 35 (D) 25 (E) 15"
2,109年學測-自然科第6題,E,"Translated Question: A literary figure observes data for Alpha and Beta, two celestial bodies, and later confirms that one is a galaxy and the other is a galaxy cluster. If the mass of Alpha is approximately 1000 times that of Beta, and the wavelengths of corresponding spectral lines emitted by the same elements are greater for Alpha than for Beta, which of the following statements is correct? (A) Alpha is a galaxy cluster, and its recessional velocity is smaller than Beta's. (B) Alpha is a galaxy and is farther away than Beta. (C) Beta is a galaxy cluster, and its recessional velocity is smaller than Alpha's. (D) Alpha is a galaxy and is closer than Beta. (E) Alpha is a galaxy cluster, and its recessional velocity is greater than Beta's."
3,109年學測-自然科第8題,E,"Translated Question: When observing microorganisms under an electron microscope, what can be used to distinguish whether the microorganisms seen are prokaryotes or eukaryotes? (A) Those with ribosomes are eukaryotes. (B) Those with chromosomes are prokaryotes. (C) Those with flagella are prokaryotes. (D) Those with cell walls are prokaryotes. (E) Those with mitochondria are eukaryotes."
4,109年學測-自然科第9題,C,"Translated Question: What is the correct statement about paraquat? (A) Plants can continue photosynthesis after being sprayed with paraquat. (B) After being broken down, paraquat produces oxygen, causing the cells to be damaged more rapidly. (C) Paraquat interferes with the electron transfer process by absorbing electrons. (D) Paraquat mainly acts in the location of the electron transport chain in chloroplasts. (E) Paraquat causes toxicity in both plants and animals by affecting the same organelles."
5,109年學測-自然科第13題,E,"Translated Question: A bottle of unknown solid chemical compound was found in a chemistry lab with no label. After testing, it was found that the compound does not conduct electricity, dissolves in water, and the water solution does not conduct electricity either, and it does not cause a color change on phenolphthalein paper. Which of the following substances is most likely the unknown compound? (A) Benzoic acid (C6H5COOH) (B) Sodium acetate (CH3COONa) (C) Potassium iodide (KI) (D) Ammonium chloride (NH4Cl) (E) Glucose (C6H12O6)"
6,109年學測-自然科第22題,C,"                            Translated Question: Which of the following statements is correct regarding factors affecting landslides in Taiwan, a region known for its active tectonic activity and frequent landslide events? (A) The faster the tectonic movement, the less likely landslides are to occur. (B) The lower the rock layer's water content, the more likely landslides are to occur. (C) Landslides are more likely to occur on rock faces with well-developed joints (cracks). (D) The stability of the rock layer and its resistance to weathering are more important factors than slope angle. (E) If the angle of the rock layer and the slope are aligned in the same direction, and the rock layer's angle is smaller than the slope's angle, landslides will not occur."
7,109年學測-自然科第23題,D,"Translated Question: Which of the following statements about earthquakes is correct? (A) The magnitude of an earthquake is unrelated to the energy released by fault slip. (B) The location of the earthquake source can be calculated from the arrival time and speed of P waves and S waves at a single station. (C) The earthquake intensity decreases as the distance from the source increases and is unrelated to the local geology. (D) Earthquakes can cause soil liquefaction, leading to the subsidence and collapse of buildings. (E) The faster the speed of earthquake waves, the greater the ground shaking."
8,109年學測-自然科第24題,CE,"Translated Question: Which of the following statements about ""quantum phenomena"" are correct? (Select 2) (A) The double-slit interference experiment of electrons is due to their particle nature. (B) The emission spectrum of hydrogen atoms belongs to continuous spectrum. (C) The experimental result of the photoelectric effect demonstrates that light has particle properties. (D) All quantum phenomena can be explained by classical physics' electromagnetic theory. (E) The observed spectral features of hydrogen atoms can be explained by the energy level model of hydrogen atoms."
9,109年學測-自然科第27題,CDE,"Translated Question: Which of the following statements about heartbeats and heart sounds are correct? (Select 3) (A) The heartbeat is solely due to the contraction of the heart muscle. (B) The entire heartbeat cycle, the mitral valve will close twice. (C) The heartbeat rate is influenced by nerves and hormones. (D) The bicuspid valve closes at the base of the aorta. (E) The characteristics of heart sounds can be used as a reference for diagnosis."
