,info,answer,translated_questions
0,112年學測-自然科第3題、,C,"Translated Question: According to a news report, an asteroid was discovered on Antarctica, believed to have originated from Mars. How did scientists determine that this asteroid came from Mars? (A) A manned spaceship has already landed on Mars and brought back Mars rocks. (B) Mars collided with Earth in the early solar system, leaving a large number of Mars rocks on Earth. (C) Chemical analysis showed that the elements isotopes in the asteroid match the elements isotopes on Mars. (D) The asteroid contains a large amount of oxidized iron, giving it a dark red color. (E) The asteroid is charred and has burn marks, indicating it has been burned in fire."
1,112年學測-自然科第4題,B,"4. At the coast, a large wave suddenly pulls a fisherman or tourist into the sea. These large waves are called ""rogue waves."" A strong typhoon passed through the Philippines and moved westward in the South China Sea towards Vietnam on November 9, 2013. On the same day, the weather in northern Taiwan was good, with no wind and no rain. A community college student visited the Cape Hengchun Geological Park along the coast in Bali, New Taipei City for an outdoor field trip. A 5-meter high ""rogue wave"" appeared at the park's coastal waters, and tourists visiting the coastal geomorphology were pulled into the sea by the large wave. What factor is most likely responsible for the rogue wave in this case? (A) Waves caused by the sudden gales of the typhoon (B) Waves caused by the storm surge of the typhoon and the northeastern monsoon (C) Waves caused by the fragmentation of waves caused by the typhoon (D) Waves caused by the tidal surge due to the typhoon's low pressure (E) Waves caused by landslides due to the typhoon"
2,112年學測-自然科第6題,AE,Translated Question: What is correct regarding the following statements? (You can choose 2 options.)(A) The relative humidity is the same in both places. (B) The relative humidity in Alpha is higher. (C) The relative humidity in Alpha is lower. (D) The water content in both places is equal. (E) Alpha has more water vapor. (F) Alpha has less water vapor.
3,112年學測-自然科第8題,ADF,"Transladed Question: The surface salinity of the ocean in open seas is related to latitude, due to the result of precipitation and evaporation at different latitudes. Which of the following atmospheric phenomena is related to the higher surface salinity latitude? (Please select 3) (A) Located in the high pressure area (B) Located in the low pressure area (C) Located in the upward draft area (D) Located in the downward draft area (E) Located in the convergence zone of the sea wind scene (F) Located in the divergence zone of the sea wind scene"
4,112年學測-自然科第9題,C,"Translated Question: Which of the following statements about the Pacific Ring of Fire is correct? (A) The formation of this ring is mainly due to the boundaries of divergent tectonic plates. (B) Earthquakes are primarily located in the mantle, making the ring's features mainly shallow earthquakes. (C) The Pacific Ring of Fire and the Pacific Ring of Fire volcanic zone (fire ring) are located almost side by side, with many active volcanoes. (D) Earthquakes are closely related to fault movements, and most earthquakes in this ring are caused by horizontal movements."
5,112年學測-自然科第11題,BC,Translated Question: Which of the following phenomena are specific and can be used to confirm that the crop has been infected with CMV? (Select 2) (A) The crop contains CMV's ribonucleic acid (RNA) (B) The crop contains CMV's protein (C) The crop contains CMV's 5 kinds of proteins (D) The crop releases a special odor (E) An abundance of aphids is found on the crop
6,112年學測-自然科第12題,ABC,"Translated Question: Which of the following statements about the study of human evolution is correct? (Select 3) (A) It is easier to obtain mitochondrial DNA sequences from fossil specimens of the Neanderthal than nuclear DNA. (B) Obtaining relatively continuous DNA sequences from Neanderthal remains is much more difficult than from modern humans. (C) If the final name of the Denisova person is Homo denisova, this individual is not the same species as modern humans. (E) The materials and technology used in Pääbo's ancient DNA research can be extended to apply to human fossils from the Jurassic period."
7,112年學測-自然科第13題,B,Translated Question: Which of the following slide-making methods is best for observing the morphology of leaf guard cells using the material of shamel? (A) Cut the material into thin slices with a small knife by hand. (B) Tear the material with your fingers. (C) Crush the material with a cover glass. (D) Spread the material on a glass slide with toothpicks or dissecting needles. (E) Place the material directly on a glass slide.
8,112年學測-自然科第14題,D,Translated Question: Which of the following structures is commonly found in both E. coli cells and yeast cells? (A) Cell nucleus (B) Mitochondria (C) Golgi apparatus (D) Ribosomes (E) Endoplasmic reticulum
9,112年學測-自然科第15題,D,"Translated Question: For a species of germ cells with 12 sets of homologous chromosomes in the sex cell, which of the following is correct? (A) At the beginning of meiosis, the chromosome number of the homologous chromosome association becomes 48 (B) At the beginning of meiosis, each gamete has 24 pairs of homologous chromosomes (C) After meiosis I, each cell has 12 pairs of chromosomes (D) The number of chromosomes in the eggs of this species is 6 (E) The number of chromosomes in the sperm of this species is 3"
10,112年學測-自然科第16題,BC,"Translated Question: Which of the following statements is correct regarding the meaning ""On Earth, biological diversity has been formed through the evolutionary process""? (Select 2) (A) The main reason for the large-scale reduction in biodiversity on Earth is the insufficiency of new species. (B) After a massive loss of species, biodiversity usually increases as an ecological system approaches equilibrium. (C) In addition to species diversity, biodiversity can also be observed at the genetic or ecosystem level. (D) If the habitat complexity increases but the composition of species remains unchanged in the short term, the diversity of ecosystems remains unchanged. (E) If the ratio of the dominant allele to the recessive allele is 3:1, it shows that the dominant phenotype is more adapted to the environment than the recessive phenotype."
