,info,answer,translated_questions
0,113年學測-國文科第1題,A,Translated Question: Which of the following pairs have the same pronunciation: (A) open the way / crush (B) pick up the oar / time is tough (C) hold the lotus / dare to advance (D) do not wander / do not yield to evil
1,113年學測-國文科第2題,A,"Translated Question: Which of the following sentences has no typos? (A) Germany's team won the championship, with the highest expectations, but stopped at the semifinals. (B) Last night, guests arrived, and the host served tea to welcome them, and the host and guests were happy together. (C) This building adopts the concept of green architecture, leaving no design behind. (D) Leaving their hometowns, students go north to find a place to live outside, and it is not easy to find a place to rent."
2,113年學測-國文科第3題,C,"Translated Question: According to the passage, what posed a challenge for Confucius in teaching this disciple? (A) Adapting the traditional teaching methods to engage a disciple who is reluctant to learn about rituals. (B) Both Confucius and the disciple may not like the formality of rituals, but the disciple's disregard for forms is rare. (C) While it is important for the disciple to understand the spirit of rituals, the forms cannot be overlooked. (D) Changing subpath's impetuous and bold nature by using the spirit of rituals and music."
3,113年學測-國文科第4題,D,"Translated Question: Fill in the blank in the following passage: 'Although there are four examples given in the text, the most suitable one to summarize them all is: ""。是以雞知將旦，不能究陰陽之曆數；鵠識夜半，不能極晷景之道度；山鳩知晴雨於將來，不能明天文；蛇蘞知潛泉之所居，不能達地理。（《抱朴子》）""。蘞：小蟲。 短疢：缺點。 (A)英逸之才，非淺短所識 (B)官達者，才未必當其位 (C)小疵不足以損大器，短疢不足以累長才 (D)偏才不足以經周用，隻長不足以濟眾短"
4,113年學測-國文科第5題,D,Translated Question: Which of the following arrangements best reflects the order of the sentences in the ancient text: 昔周公之相也，甲、皆諸侯卿相之人也，乙、是以俊義滿朝，賢智充門，丙、謙卑而不鄰，以勞天下之士，丁、孔子無爵位，以布衣從才士七十有餘人，況處三公之尊以養天下之士哉？(《鹽鐵論》)鄰：通「吝」，吝惜。(A)甲乙丁丙(B)甲丙乙丁 (C)丙甲丁乙 (D)丙乙丁甲)
5,113年學測-國文科第6題,D,"Translated Question: Where did the mysterious lozenge script, known as ""nüshu,"" secretly spread for over a century in Jiangyong, Hunan Province? It is a spoken language used script that is used to communicate and express feelings and knowledge through singing and understanding. Daughters in the family who were not allowed to ""run amok"" in the natal house were called ""tower girls"" in the natal house. Before marriage, they learned to recognize, write, and weave nüshu characters while singing, entering a knowledge system separate from the formal education system. When a daughter was married, each girl would give a book of nüshu as a memorial gift before leaving. The daughters would cry and express the shared fate of women who could not choose their own destiny. The natal house was a closed and intimate space for women, but it was also a symbol of impermanence. In the context of nüshu, women did not lose their ability to communicate and form alliances like other illiterate women after marriage. Through nüshu, they supported each other and found ways to survive in the face of social reality and hardship. The origin of nüshu remains a mystery, and it was only passed on in Jiangyong. As education became more widespread and traditional customs and social situations changed, nüshu gradually fell into disuse. However, research and application of nüshu are increasingly popular, especially in the consumer age, where it has become a fashion symbol often seen in cultural and creative design. (Redrafted from Zhao Zhici and Liu Waqiong's related research reports) About the relationship between nüshu and the ""natal house"" in the text, the most appropriate explanation is: (A) The natal house confines women's youth. (B) Women in the natal house share their feelings. (C) Women in the natal house long for a good marriage. (D) Women in the natal house are restrained by the marriage taboos and cannot return to their natal house."
6,113年學測-國文科第7題,C,"Translated Question: In the Jiangyong region of Hunan Province, a mysterious script called nüshu has secretly passed down for over a century. It is a phonetic alphabet using the local dialect and is used to communicate and express feelings through singing. Daughters in the natal home, who are not yet married, are known as ""tower ladies."" They learn to recognize, write, and embroider nüshu while singing as they learn. When a daughter is about to be married, the girls exchange written nüshu as a memento. The practice of crying at the wedding, which involves singing songs about the bitterness of parting, reflects the shared fate of women and their closed, intimate female space. However, it is also a symbol of impermanence. In the wedding songs, nüshu is often described as a taste of the uprooting of women from their native soil by the patriarchal society. This shows that crying at the wedding is not only a fear of an unknown fate, but also a howl of women cutting off their bloodlines and ties. Because of nüshu, however, after marriage, they are not as illiterate as other women and can still communicate and form alliances. The sisters' correspondence, although bitter, is always full of heartfelt advice and mutual support. Through nüshu, they struggle, wrestle, and compromise in the social reality, and even the scribe sometimes becomes a participant in the writing. The origin of nüshu is still a mystery. It was invented by women in Jiangyong and is the only script in the world using local dialects. However, due to regional barriers and the fact that it was mainly passed down through oral tradition, it was only passed down in Jiangyong. As more and more nüshu texts were burned as funerary offerings, along with the popularization of education, changes in traditional customs, and social context, nüshu gradually fell into disuse. However, research and application of nüshu are flourishing, especially in the consumer age, where it has become a fashion symbol and often appears in cultural and creative design. (Redrafted from Zhang Zhide, Liu Waqiong, etc.'s related research reports) Crying at the Wedding: A wedding lament, in which daughters of the bride sing songs about the"
7,113年學測-國文科第8題,B,"Translation Question: In the Jiangyong area of Hunan Province, a mysterious octagonal script called nüshu has been passed down for over a century. It is a phonetic logographic script using the local dialect and is used to communicate and express feelings, form sisterhood, offer prayers and blessings, and record news and stories. Nüshu played a crucial role in the lives of women in this typically agricultural society. Daughters who were not yet married were called ""tower ladies"" and learned nüshu while singing and weaving in their natal home. When a girl was about to be married, they would cry for her and give her a nüshu-related gift as a memento. The bridal chamber was a closed and intimate space for women, symbolizing ""impermanence."" The text often describes the bitter taste of marriage in a patriarchal society and the pain of cutting off blood, soil, and relationships. However, due to nüshu, after marriage, they did not lose the ability to communicate and form alliances like other illiterate women. Sisters' letters were full of hardships, but they always offered each other advice and support. Through nüshu, they struggled, grappled, and compromised in the face of social reality and hardships, and even the scribe sometimes became an author, lamenting and sympathizing while recording their own lives. The origin of nüshu remains a mystery. It was invented by women in Jiangyong and used the local dialect, but its spread was limited to the Jiangyong area due to geographical barriers. Most nüshu texts were burned as funeral offerings after the death of the woman, and as education became more widespread and traditional customs and social contexts changed, nüshu gradually fell into disuse. However, research and application of nüshu are increasingly popular, especially in the consumer era, where it has become a fashion symbol and often appears in cultural and creative design. (Revised from Zhang Zhi-hua, Liu Wa-mei, and related research reports) Crying Marriage: A cry-singing ritual in which the bride-to-be sings a farewell song expressing her parting emotions. Which of the following nüshu works is not about ""the disappointment of women after marriage""? (A) The passage says, ""When I divide"
8,113年學測-國文科第9題,B,"Translated Question: According to the passage, what is the main reason that ""the textual landscape is unlikely to change much""? (A) The legibility of new sans serif (B) Obtaining new fonts is more convenient (C) People are used to close-range reading (D) People do not care about the aesthetics of fonts)"
9,113年學測-國文科第10題,A,在大部分機場的指示中，都使用黑體字，因為它給人一種乾淨簡潔的現代感。如果使用新細明體，由於其筆畫非常細，在一段距離外可能難以閱讀，甚至連發現它都有困難。新細明體的橫筆設計得比較細，因此不適合用於距離讀者遠的指示。而黑體字的橫筆夠粗，具有良好的「易視性」。新細明體在80年代曾非常流行，但時代在變，審美疲乏也隨之而至。想要改變中文字型設計現狀的人成了目標。在高解析度螢幕時代，新細明體已不能滿足螢幕閱讀需求。然而，只要它是系統內建的主要字型，它就仍然是大多數人的首選。因此，文字風景的基本面一時內難有太大變化。新細明體主要適用於「紙本」，如放在桌上或手上閱讀。這種字體我們稱為「內文」。通常，內文字體設計得讓人感覺變化不大，沒有張狂的造型，像喝水一樣平淡無味。這種「無聊」的體驗，反而有助於讀者專注於吸收信息。新細明體是一種非常普遍的內文字體，因此有的學院指定報告要求使用新細明體，以減輕教授的閱讀負擔。（修改自柯志杰、蘇煒翔《字型散步》）
10,113年學測-國文科第11題,C,根據《盲目》的描述，薩拉馬戈設計了多條線索以供解讀。如白盲症使人彼此疑懼，生活脫軌，但患者間也能相互合作，尋求一己和團體的利益。唯一未染疫者固然有諸多方便與更大能力助人，但也因「眾人皆盲我獨明」，而看清人心險惡，甚至為了護衛夥伴安全，不得不手刃施暴者。從而感慨：「如果你看得到我被迫看到的景象，你會情願失明。」白盲症突然消失後，盲而復明者的一番感悟也引人深思：「我覺得我們並沒有失明，我認為我們本來就是『盲目』的。」（改寫自單德興〈瘟疫的文學再現與生命反思〉）根據上述文章，關於《盲目》的書寫特色，最合適的說明是：(C)以缺乏指引方式敘寫對話，形成類近盲者摸索前行的閱讀感受。
11,113年學測-國文科第12題,A,"Translated Question: Which of the following statements is most appropriate in relation to whether options ① and ② correspond to the content of the text? (A) Both ① and ② are appropriate. (B) Only ① is appropriate, while ② is not. (C) Only ② is appropriate, while ① is not. (D) It is difficult to determine the appropriateness of ①, but ② is appropriate."
12,113年學測-國文科第13題,C,"Translated Question: Which of the following sections (A, B, C, or D) should the sentence ""Due to the diversity of oral transmission, people's impressions vary, so ordinary events occur"" be placed in? A. The passage discusses the various accounts of stories about Zhou Guangming. B. The similarities and differences between the two Eastern Jing records. C. The story of Zhou Guangming in the Shi Saying Xin Yu. D. The fixed storyline of the Zhou Guangming legend and its influence on future generations."
13,113年學測-國文科第14題,C,"Translated Question: What is incorrect about the three legends of Zhou Guangzhong in the text? (A) Kongyu only mentions the three evils in Yixing and Zhou Guangzhong as one of them but does not mention his repentance and reform. (B) Zhou Guangzhong's legend focuses on slaying the beast and is more vivid than Guo Tai's legend. (C) The ""Yixing Three Evils → Zhou Guangzhong Slays the Beast → Zhou Guangzhong Repents and Reforms"" narrative unit is fixed, becoming the prototype of the ""Zhou Guangzhong Dispels Three Evils"" legend. (D) The Worldly Humor New Account emphasizes Zhou Guangzhong's fierce qualities by describing him slaying tigers and presents a different image of a Zhu Ren from the strange tales."
