,info,answer,translated_questions
0,112年學測-社會科第1題,B,"Translated Question: A private association dedicated to employing people with intellectual disabilities to participate in the labor market and in society has been contracted to clean municipal public spaces. However, due to heavy workloads and insufficient staffing, the association had to give up its contracts and disband. A netizen believes that, in terms of social justice, the municipal government should provide greater flexibility in terms of work scope or funding to the association. From the perspective of the netizen, when facing the following campus issues, what topic are they most likely to be concerned about? (A) Promoting bilingual education (B) Building an accessible environment (C) Providing free nutritional meals (D) Providing college entrance or job guidance."
1,112年學測-社會科第2題,D,"Translated Question: Alpha and his ex-wife had a son and a daughter. Alpha made a will leaving his only property (a house) to his son. After Alpha's death, the daughter believed that her father was favoring his sons and disagreed with the will content, sued the court. If this will meets the legal requirements, regarding the inheritance dispute, which of the following views is correct? (A) Alpha is the owner of the house and has the right to dispose of the property by will. (B) The ex-wife is the mother of the children and has the right to inherit with Alpha's children. (C) The will is clearly biased in favor of men, and the court should rule that the property be divided equally among Alpha's children. (D) The will violates the provisions of the Civil Code on inheritance, and the daughter has the right to inherit part of the property."
2,112年學測-社會科第3題,C,"Translated Question: In a middle school, student A extorts money from student B, and later A is sent to court. However, when the court processes A's case, the courtroom is not open to the public. The reason for this closure is the same as which of the following juvenile delinquency intervention measures in this case? (A) During the process of handling A's case, A is given the opportunity to express their views. (B) During the process of handling A's case, B is given the opportunity to express their views. (C) After A undergoes counseling for a certain period of time, the record of this case is erased. (D) With the agreement of B, the court orders A to compensate for the damages caused."
3,112年學測-社會科第4題,D,"Translated Question: Aling plans to rent a house, with the only consideration being the rent per square meter in Table 1. Table 1 below lists the rental information for different layouts in a certain area. If Aling's company reimburses her for 10,000 yen per month in rent, how will this rental subsidy affect her housing decision? (A) With or without the subsidy, she always chooses a two-room and a one-room apartment. (B) With or without the subsidy, she always chooses a three-room and a two-room apartment. (C) Without the subsidy, she chooses a two-room and a one-room apartment, but with the subsidy, she chooses a two-room and a one-room apartment. With the subsidy, she chooses a three-room and a two-room apartment. (D) Without the subsidy, she chooses a three-room and a two-room apartment, but with the subsidy, she chooses a one-room and a one-room apartment."
4,112年學測-社會科第5題,B,"Translated Question: Scholars discovered two types of copper coins from the 7th century China and the 17th century Japan in the 13-row site in northern Taiwan. These coins, found as funerary offerings, can be used to discuss which aspect of Taiwan's prehistoric culture? (A) The relationship of cultural heritage, (B) The exchange between East Asian countries, (C) The unit of transaction in trading, (D) The direction of population migration."
5,112年學測-社會科第6題,B,"Translated Question: In the early years of the Western Han Dynasty, government officials were mainly composed of nobles, soldiers, and the wealthy. Emperor Wu of Han promoted political reforms, adopted the proposal of Kong Rong, and widely promoted the system of selecting officials through recommendation. Which of the following best describes the result of Emperor Wu of Han adopting Kong Rong's suggestion? (A) Local power increased, and the emperor's power decreased. (B) Literati became the main source of officials. (C) The government suppressed merchants, leading to economic stagnation. (D) The government established a rotation system for officials."
6,112年學測-社會科第7題,A,"7. Translated Question: At what event would this protest most likely have been delivered: (A) US Independence Day; protest against racial inequality between blacks and whites, (B) Napoleon's War Memorial Day; protest against gender inequality between men and women, (C) Russian Revolution Day; protest against inequality between laborers and capitalists, (D) Indian Independence Day; protest against inequality between Hindus and Muslims?"
7,112年學測-社會科第9題,B,"9. Quanzhou, also known as Junzhou City, was an important port for foreign trade during the Song and Yuan dynasties. A Persian tombstone was discovered, with inscriptions in Han, Arabic, and Persian. The Arabic inscription reads: ""Everyone must taste death."" The Persian inscription reads: ""Ahmad bin Andija Haijam Ahmad died in the city of Junzhou, where Ahmad's mother was from."" The Han inscription reads: ""Born on June 23, 1277, he lived 30 years. Died on September 25, 1307, and was buried here."" This tombstone can serve as evidence for which of the following descriptions of the Persians in Song and Yuan Quanzhou? (A) Many merchants died abroad. (B) They often intermarry with the Han people. (C) They all converted to Islam. (D) They adopted Confucian funeral rites."
8,112年學測-社會科第10題,D,"10. In the late 19th century, Taiwan opened for international trade, and Western missionaries came to preach. However, they often encountered resistance in Chinese urban areas. Therefore, some missionaries, with the help of merchants in trading companies, entered the ""fuzhun"" indigenous communities in the hinterland to preach. The expansion of this missionary activity is most likely related to which business operated by the trading companies? (A) Coconut milk extraction (B) Hunting and catching deer (C) Sugarcane juicing (D) Logging and resin collection"
9,112年學測-社會科第11題,C,"Translated Question: What policy is being promoted in the publication's editorial from a Japanese newspaper during the Japanese colonial period, which mentions: ""... the subjects in the Taiwanese school no longer require much Chinese, and the brothers from Taiwan have abandoned Chinese since the second year of the decade."" (A) Establishing a Chinese school to meet the needs of teachers and interpreters. (B) Changing all public schools to national schools and promoting compulsory education. (C) Implementing a policy of Japanese and Taiwanese co-education, where those who are proficient in Japanese can enter small schools. (D) Managing private schools and language institutions during Japan's early rule in Taiwan."
