,info,answer,translated_questions
0,113年學測-社會科第1題,B,"Translated Question: According to the ""Regulations Governing Memorial Days and Festivals in Taiwan,"" the date of traditional ceremonies for Taiwan's indigenous peoples is determined by the announcement of the Indigenous Peoples Commission. Each indigenous group's Taiwanese indigenous people are entitled to a holiday on these occasions. From the perspective of civil rights and the allocation of community resources, what is the purpose of this legislation most similar to? (A) The Civil Code stipulates that parents must agree in writing on the surname the child will take, paternal or maternal. (B) The National Language Development Act includes Taiwan Sign Language as part of the national languages. (C) The Nationality Law abolishes the restriction on new residents from participating in elections for less than ten years. (D) The Broadcasting Law states that foreigners without Taiwanese nationality are not allowed to be shareholders or hold positions as directors or supervisors."
1,113年學測-社會科第2題,A,"Translated Question: If certain circumstances occurred, who would inherit Alpha's estate according to Taiwanese law? (A) There is no designated heir and no will, so the estate belongs to the government. (B) The godchildren would inherit the estate together. (C) Because Alpha's brother has passed away, the godchildren would inherit on his behalf. (D) Alpha's sister-in-law and godchildren would each inherit one-third of the estate."
2,113年學測-社會科第3題,B,"3. Xiaoyi reads a passage in a book: 'After the 17th century, coffee became popular in Europe, driving a coffee consumption trend, making it a mass-market beverage. European countries then began to plant coffee extensively in their colonies.' Based on this historical account, Xiaoyi infers that the coffee market price at that time should have fallen. According to market analysis, her inference is most likely based on which of the following? (A) Since coffee has become a mass-market drink, the consumption market is prone to shortages. (B) Coffee consumption demand is increasing, but the increase in supply from large-scale planting in colonies is even greater. (C) After European countries planted coffee in their colonies, it also stimulated the growth of consumption. (D) The government anticipated significant fluctuations in coffee prices and implemented price control policies."
3,113年學測-社會科第4題,B,"4. In the 17th century, after the Dutch arrived in Taiwan, a Spanish official's report mentioned: ""The Dutch and Japan have caused us great losses, like last year when the Dutch captured one of our ships, which was carrying a lot of silver.... I suggest obtaining a foothold at another port in Taiwan, and then driving the Dutch out of their current residence. If the king establishes a trading house there, our base will return to its former glory."" In the report, ""another port"" and ""base"" refer to: (A) Tamsui, Macau (B) Keelung, Manila (C) Anping, Malacca (D) Dadu, Batavia"
4,113年學測-社會科第5題,D,"Translated Question: In a history class, a student finds information about a prosperous city during the Song Dynasty: Houses were built right next to moats, and some even crossed the moat to construct their homes. People often threw garbage, filth, and other waste into the moat, making the city dirty and damp. The smell in narrow alleys and lanes was unbearable. Based on this information, which of the following inferences is the most reasonable? (A) The government was preoccupied with defending against the Jin Dynasty and could not manage the residents. (B) An epidemic and the prevalence of disease caused the city to be dirty and damp. (C) The market was in decline, and the government could not maintain the city's walls and streets. (D) The city had a high population density, and public health was poor."
5,113年學測-社會科第6題,D,"Translated Question: The former US Defense Secretary reviewed the failure of the Vietnam War: ""We thought that the locals would fight for freedom and democracy, what we thought was good might not be good for the Vietnamese, which reflects our ignorance of local history, culture, and politics. We also wouldn't acknowledge the reluctance of modern military technology when facing the determined spirit of the North Vietnamese alliance."" He believed that the United States' main mistake was: (A) the US intervention in Vietnam not in its national interest (B) the limitations of US military technology's ability (C) Vietnam embraced communism and opposed democracy (D) ignoring the national independence will of the Vietnamese people."
6,113年學測-社會科第7題,A,"7. A student conducts an inquiry-based learning project using data from the Ming dynasty's Wenzhou Prefecture Gazetteer (Table 1) for the period between 1522 and 1542. Comparing the historical records, it is discovered that during this time, there were no major disasters or wars in the region, so the number of households and people should have increased, but this was not the case. Which of the following explanations is the most reasonable for this phenomenon? Table 1: Jiajing 1 (1522) Jiajing 11 (1532) Jiajing 21 (1542) Wenzhou County Households Population Households Population Households Population Xiaoxi 21,000 37,525 19,300 32,501 18,732 27,455 Dinghai 12,517 37,450 13,026 38,808 14,017 38,701 Xiushan 3,802 17,812 3,802 17,812 3,802 17,812 (A) During the Ming dynasty, the simplified taxation system was implemented, and officials no longer had to meticulously count households and individuals. (B) Local officials forcibly relocated the newly added population to other areas to maintain order. (C) The nearby coastal location allowed many people to board ships and travel to Liaodong to settle wild lands. (D) During the Ming dynasty, the government imposed a maritime ban, and the local area was restricted due to rampant piracy."
7,113年學測-社會科第9題,B,"Translated Question: To develop forest resources, in the early years of Japanese rule, the Japanese government continued the Qing Dynasty's mountain bandit policy in Taiwan to prevent aborigines. According to Table 2, which shows the change in official and civilian militia numbers, what kind of development trend can be seen in the early Japanese rule's mountain bandit policy? Table 2: Qiangwei People Number Time Official Qiangwei Civilian Qiangwei Total 1895 -- 568 568 1897 159 437 596 1903 3,054 0 3,054 (A) Officials hired indigenous people to defend (B) Mountain defense gradually took over by officials (C) From repression to pacification and education (D) Mountain residents were gradually driven away by officials"
8,113年學測-社會科第10題,A,"Translated Question: In 1960, US presidential candidate Nixon said: ""The Chinese Communist Party statement, attacking offshore islands is just a prelude to taking Taiwan."" If the Communist Party of China attacks Taiwan, the US will stand with its allies, just as in the case of supporting a city in Europe. Which European city and offshore island did he refer to as examples? (A) Kinmen and Berlin (B) Dachen and London (C) Penghu and Paris (D) Mazhu and Warsaw"
9,113年學測-社會科第11題,B,"Translated Question: Which of the following locations and times is most likely for a history textbook to have the following conclusion: ""The Nationalist Party-led National Revolution is the standard of the world revolution, and the Three Principles of the People will replace imperialism and socialism, becoming the guiding universal ideal for the establishment of a world of Great Harmony, and China has an unavoidable responsibility for the realization of this goal."" (A) 1910s in Beijing (B) 1930s in Shanghai (C) 1960s in Nanjing (D) 1990s in Hong Kong"
