,info,answer,score,generated_answer
0,110年學測-國文科第1題,B,1.0,B
1,110年學測-國文科第2題,A,0.0,B
2,110年學測-國文科第3題,D,0.0,C
3,110年學測-國文科第4題,C,0.0,D
4,110年學測-國文科第5題,B,1.0,B
5,110年學測-國文科第6題,C,1.0,C
6,110年學測-國文科第7題,B,1.0,B
7,110年學測-國文科第8題,A,0.0,B
8,110年學測-國文科第9題,B,0.0,D
9,110年學測-國文科第10題,C,1.0,C
10,110年學測-國文科第11題,C,0.0,B
11,110年學測-國文科第12題,C,1.0,C
12,110年學測-國文科第13題,A,0.0,C
13,110年學測-國文科第14題,A,1.0,A
14,110年學測-國文科第15題,D,0.0,B
15,110年學測-國文科第16題,C,0.0,A
16,110年學測-國文科第17題,C,1.0,C
17,110年學測-國文科第18題,B,0.0,D
18,110年學測-國文科第19題,A,0.0,B
19,110年學測-國文科第20題,B,1.0,B
20,110年學測-國文科第21題,D,1.0,D
21,110年學測-國文科第22題,D,0.0,C
22,110年學測-國文科第23題,D,1.0,D
23,110年學測-國文科第24題,B,0.0,D
24,110年學測-國文科第25題,A,1.0,A
25,110年學測-國文科第26題,B,1.0,B
26,110年學測-國文科第27題,D,1.0,D
27,110年學測-國文科第28題,D,0.0,B
28,110年學測-國文科第29題,D,0.0,B
29,110年學測-國文科第30題,C,1.0,C
30,110年學測-國文科第31題,A,1.0,A
31,110年學測-國文科第32題,D,0.0,C
32,110年學測-國文科第33題,C,1.0,C
33,110年學測-國文科第34題,C,0.0,B
34,110年學測-國文科第35題,CE,0.0,BD
35,110年學測-國文科第36題,ACE,0.0,AB
36,110年學測-國文科第37題,CD,0.6,ACD
37,110年學測-國文科第38題,BC,0.6,ABC
38,110年學測-國文科第39題,BC,0.6,BCD
39,110年學測-國文科第40題,AD,0.6,ACD
40,110年學測-國文科第41題,CD,0.6,CDE
41,110年學測-國文科第42題,BCE,1.0,BCE
